319104 -0.0061 -0.0012 0.0190 0.0194 0.0180 0.0326 0.0048 0.0090 -0.4727 -0.5120 -0.5435 -0.5989 0.5571 0.6328 0.6385 0.7126 0.0077 0.0079 0.0037 0.0040 0.0044 0.0045 0.0075 0.0079 0.1896 0.1897 0.2160 0.2160 0.1897 0.1897 0.2160 0.2160
319124 -0.0107 -0.0076 0.0057 0.0067 0.0163 0.0282 0.0077 0.0146 -0.0512 -0.0819 -0.0660 -0.0942 0.1466 0.2386 0.1845 0.2626 0.0064 0.0065 0.0034 0.0034 0.0041 0.0039 0.0066 0.0067 0.1183 0.1183 0.1347 0.1347 0.1183 0.1184 0.1347 0.1348
319125 -0.0077 -0.0039 0.0085 0.0087 0.0145 0.0281 0.0069 0.0149 -0.1812 -0.2177 -0.2159 -0.2499 0.2633 0.3665 0.3161 0.4077 0.0068 0.0075 0.0040 0.0040 0.0049 0.0046 0.0074 0.0075 0.1571 0.1571 0.1790 0.1790 0.1573 0.1573 0.1790 0.1791
319159 0.0152 0.0148 0.0299 0.0278 0.0479 0.0596 0.0316 0.0381 -0.1333 -0.1781 -0.1567 -0.2036 0.2906 0.3816 0.3467 0.4249 0.0071 0.0073 0.0053 0.0055 0.0064 0.0060 0.0089 0.0088 0.1608 0.1608 0.1831 0.1831 0.1609 0.1610 0.1832 0.1833
319160 0.0065 0.0070 0.0211 0.0193 0.0430 0.0528 0.0293 0.0340 -0.1743 -0.2271 -0.2021 -0.2585 0.3298 0.4105 0.3890 0.4571 0.0084 0.0087 0.0061 0.0063 0.0072 0.0068 0.0103 0.0102 0.1663 0.1663 0.1894 0.1894 0.1663 0.1664 0.1893 0.1894
319174 0.0221 0.0199 0.0319 0.0282 0.0328 0.0467 0.0233 0.0275 -0.2385 -0.2763 -0.2604 -0.3152 0.3823 0.4381 0.4400 0.5093 0.0068 0.0073 0.0035 0.0039 0.0039 0.0042 0.0069 0.0072 0.1527 0.1527 0.1739 0.1739 0.1528 0.1529 0.1740 0.1740
319175 0.0201 0.0232 0.0301 0.0308 0.0320 0.0472 0.0228 0.0286 -0.1140 -0.1579 -0.1219 -0.1809 0.2640 0.3145 0.3044 0.3676 0.0065 0.0070 0.0036 0.0038 0.0041 0.0043 0.0070 0.0072 0.1429 0.1430 0.1628 0.1628 0.1430 0.1430 0.1628 0.1628
319176 0.0296 0.0289 0.0433 0.0402 -0.0046 0.0057 -0.0131 -0.0112 -0.2034 -0.2530 -0.2294 -0.2899 0.3238 0.3726 0.3711 0.4336 0.0043 0.0053 0.0047 0.0046 0.0044 0.0040 0.0064 0.0063 0.0910 0.0911 0.1037 0.1037 0.0910 0.0910 0.1036 0.1036
319177 0.0289 0.0303 0.0407 0.0399 -0.0082 0.0030 -0.0150 -0.0117 -0.1691 -0.2311 -0.1908 -0.2639 0.2920 0.3264 0.3339 0.3816 0.0059 0.0063 0.0039 0.0042 0.0043 0.0045 0.0064 0.0067 0.0896 0.0897 0.1021 0.1021 0.0897 0.0897 0.1021 0.1022
319190 -0.0129 -0.0138 0.0018 -0.0010 0.0237 0.0342 0.0067 0.0127 -0.2173 -0.2820 -0.2550 -0.3227 0.1199 0.1949 0.1556 0.2140 0.0063 0.0067 0.0039 0.0040 0.0049 0.0047 0.0072 0.0073 0.1376 0.1376 0.1567 0.1567 0.1376 0.1376 0.1566 0.1566
319222 -0.0389 -0.0387 -0.0276 -0.0277 -0.0532 -0.0445 -0.0511 -0.0457 -0.2590 -0.3259 -0.3025 -0.3765 0.1804 0.2671 0.2216 0.2965 0.0025 0.0026 0.0014 0.0015 0.0018 0.0017 0.0027 0.0028 0.0479 0.0479 0.0546 0.0546 0.0479 0.0479 0.0546 0.0546
319223 -0.0120 -0.0109 -0.0000 0.0003 -0.0246 -0.0150 -0.0314 -0.0249 -0.3028 -0.3834 -0.3537 -0.4416 0.1929 0.2790 0.2343 0.3099 0.0039 0.0044 0.0025 0.0026 0.0031 0.0032 0.0045 0.0047 0.0845 0.0846 0.0963 0.0963 0.0846 0.0846 0.0963 0.0963
319254 -0.0085 -0.0125 -0.0015 -0.0052 -0.0167 -0.0027 -0.0193 -0.0052 -0.1140 -0.2218 -0.1250 -0.2533 0.0849 0.0767 0.0950 0.0840 0.0040 0.0043 0.0024 0.0026 0.0026 0.0029 0.0043 0.0045 0.0721 0.0722 0.0822 0.0822 0.0722 0.0722 0.0822 0.0822
319255 -0.0102 -0.0126 0.0008 -0.0019 -0.0176 -0.0045 -0.0230 -0.0091 -0.1708 -0.2798 -0.1919 -0.3199 0.1405 0.1314 0.1530 0.1464 0.0048 0.0049 0.0031 0.0033 0.0034 0.0035 0.0054 0.0055 0.0784 0.0784 0.0893 0.0893 0.0784 0.0785 0.0893 0.0894
319256 -0.0094 -0.0112 -0.0007 -0.0027 -0.0200 -0.0064 -0.0274 -0.0118 -0.1489 -0.2646 -0.1710 -0.3029 0.0821 0.0625 0.0830 0.0691 0.0036 0.0038 0.0031 0.0032 0.0032 0.0033 0.0047 0.0047 0.0580 0.0581 0.0661 0.0661 0.0580 0.0580 0.0660 0.0660
319260 -0.0101 -0.0108 -0.0021 -0.0032 -0.0160 -0.0037 -0.0258 -0.0098 -0.1537 -0.2750 -0.1751 -0.3139 0.0683 0.0604 0.0663 0.0683 0.0050 0.0054 0.0032 0.0035 0.0038 0.0037 0.0057 0.0058 0.0754 0.0755 0.0859 0.0859 0.0755 0.0755 0.0859 0.0859
