 12101004 0 1074 1.16328 3.69389e-05 PXB
 12101004 1 1005 0.747955 1.58397e-05 PXB
 12101004 2 600 1.34032 9.22167e-05 PXB
 12101004 3 408 1.02449 7.67538e-05 PXB
 12101004 4 228 1.23358 0.000196603 PXB
 12101004 5 142 0.94437 0.000166062 PXB
 12101004 6 90 1.51534 0.00102363 PXB
 12101004 7 71 0.690308 0.000206587 PXB
 12101004 8 990 0.98604 2.51986e-05 PXB
 12101004 9 920 0.904031 2.2566e-05 PXB
 12101004 10 687 0.821644 2.61559e-05 PXB
 12101004 11 386 1.74979 0.000294314 PXB
 12101004 12 237 0.892196 0.000104145 PXB
 12101004 13 146 1.69548 0.000700064 PXB
 12101004 14 96 0.991256 0.000327482 PXB
 12101004 15 70 0.943788 0.000354742 PXB
 12101008 0 2138 1.11463 1.93991e-05 PXB
 12101008 1 2149 0.87437 1.15142e-05 PXB
 12101008 2 2419 1.62702 4.02987e-05 PXB
 12101008 3 2328 0.913939 1.04603e-05 PXB
 12101008 4 2051 1.08349 1.78449e-05 PXB
 12101008 5 1982 0.990886 1.34696e-05 PXB
 12101008 6 1791 0.959432 1.26614e-05 PXB
 12101008 7 1427 1.10812 2.46188e-05 PXB
 12101008 8 2021 1.28432 2.78913e-05 PXB
 12101008 9 2118 0.858724 1.03644e-05 PXB
 12101008 10 2501 0.926445 1.05179e-05 PXB
 12101008 11 2241 1.22825 2.04579e-05 PXB
 12101008 12 2076 1.84609 5.99012e-05 PXB
 12101008 13 2010 0.946372 1.23047e-05 PXB
 12101008 14 1789 0.892238 1.1846e-05 PXB
 12101008 15 1408 1.19162 2.72844e-05 PXB
 1210100c 0 2000 1.01111 2.3095e-05 PXB
 1210100c 1 2000 1.33424 4.13633e-05 PXB
 1210100c 2 2000 1.26912 3.60252e-05 PXB
 1210100c 3 2000 1.28889 3.49589e-05 PXB
 1210100c 4 2000 0.870005 1.39167e-05 PXB
 1210100c 5 2933 1.00892 1.19077e-05 PXB
 1210100c 6 2704 1.68246 4.43603e-05 PXB
 1210100c 7 2258 0.941368 1.24037e-05 PXB
 1210100c 8 2000 1.33075 4.85788e-05 PXB
 1210100c 9 2000 0.931754 1.92261e-05 PXB
 1210100c 10 2000 0.9951 2.01264e-05 PXB
 1210100c 11 2000 1.1352 2.56197e-05 PXB
 1210100c 12 2000 1.52583 4.82497e-05 PXB
 1210100c 13 2956 1.0797 1.40681e-05 PXB
 1210100c 14 2771 0.976749 1.1872e-05 PXB
 1210100c 15 2339 0.857934 1.05e-05 PXB
 12101010 0 2000 1.40094 5.66102e-05 PXB
 12101010 1 2000 1.40933 5.92854e-05 PXB
 12101010 2 2000 1.35586 5.36701e-05 PXB
 12101010 3 2000 1.56438 7.30013e-05 PXB
 12101010 4 2000 1.24355 4.58147e-05 PXB
 12101010 5 2000 1.19916 3.59067e-05 PXB
 12101010 6 2000 1.059 2.72902e-05 PXB
 12101010 7 2000 1.07542 2.65119e-05 PXB
 12101010 8 2000 1.29522 5.2166e-05 PXB
 12101010 9 2000 1.77872 0.000106309 PXB
 12101010 10 2000 0.766152 1.82452e-05 PXB
 12101010 11 2000 1.02456 2.98055e-05 PXB
 12101010 12 2000 1.06085 3.13072e-05 PXB
 12101010 13 2000 1.1961 4.13943e-05 PXB
 12101010 14 2000 1.34047 5.01953e-05 PXB
 12101010 15 2000 1.03429 2.74863e-05 PXB
 12101014 0 2000 1.1084 2.92211e-05 PXB
 12101014 1 2000 1.12203 3.29036e-05 PXB
 12101014 2 2000 0.959089 2.33503e-05 PXB
 12101014 3 2000 1.06464 3.1908e-05 PXB
 12101014 4 2000 1.27025 4.76399e-05 PXB
 12101014 5 2000 0.915943 2.45116e-05 PXB
 12101014 6 2000 1.08183 3.48507e-05 PXB
 12101014 7 2000 1.26227 4.98226e-05 PXB
 12101014 8 2000 1.03224 2.66864e-05 PXB
 12101014 9 2000 1.09189 3.00159e-05 PXB
 12101014 10 2000 1.30189 4.76859e-05 PXB
 12101014 11 2000 1.38709 5.69118e-05 PXB
 12101014 12 2000 2.29386 0.000188875 PXB
 12101014 13 2000 1.53815 7.95835e-05 PXB
 12101014 14 2000 1.60719 8.46597e-05 PXB
 12101014 15 2983 2.17207 0.000100478 PXB
 1210101c 0 936 1.20559 4.73996e-05 PXB
 1210101c 1 1240 0.890769 1.88471e-05 PXB
 1210101c 2 1400 1.3052 3.77747e-05 PXB
 1210101c 3 1704 1.25173 2.97148e-05 PXB
